Asset_ID,Asset_Name,Category,Status,Expiry_Date,Days_Remaining,Owner,Source_Path,Source_Filename,Renewal_Trigger,Tender_Usage_Notes
COMP-001,B-BBEE Certificate,Transformation,RENEWAL REQUIRED,2026-07-31,46,Finance Director,Tender Pack/BEE/,BBBEE Level 3 - APPSolve (Pty) Ltd RS-19451-0825-C3-20260731.pdf,New audit required before 2026-07-31 — engage BEE rating agency immediately,Required for all tenders. Level 3 = 20 B-BBEE points on 90/10 scoring. URGENT: 46 days to expiry.
COMP-002,SARS Tax Clearance PIN,Tax,ACTIVE,2027-02-23,253,Finance Director,Tender Pack/Tax Cert SARS/,Tax Clearance APPSolve_PIN 20270223.pdf,Annual renewal — request new PIN from SARS e-Filing when current approaches 12 months,Gate document. Tender disqualified without valid TCC PIN. Current PIN valid to Feb 2027. Previous (20260305) superseded.
COMP-003,VAT Registration Certificate,Tax,ACTIVE,Permanent,N/A,Finance Director,Tender Pack/VAT Registration/,Vat Registration appsolve.pdf,None — permanent registration,Required by public sector tenders. Include with CIPC registration package. No renewal needed.
COMP-004,CIPC Company Registration,Registration,ACTIVE,Annual,300,Company Secretary,Tender Pack/Registration Docs/,"Disclosure Certificate 2026.pdf, Consolidated APPSolve Registration Documents.PDF, Cor 39.pdf, BeneficiaryOwnershipDisclosure certificate 20251007.pdf",Annual CIPC annual return — file by anniversary date,Include full registration package: COR14.3 + Disclosure Cert + Cor39 + Beneficiary Ownership Disclosure. 2026 disclosure filed.
COMP-005,CSD Registration Report,Registration,ACTIVE — REFRESH DUE,2026-08-02,48,Finance Director,Tender Pack/CSD Report/,"CSD Detail 20250802.pdf, CSD Summary 20250802.pdf",When report > 12 months old — download fresh from CSD portal (suppliers.treasury.gov.za),Required for all public sector tenders. Current report dated Aug 2025 — refresh due Aug 2026 (48 days). Use both Detail and Summary reports.
COMP-006,Bank Confirmation Letter,Financial,ACTIVE — RENEW SOON,2026-08-22,68,Finance Director,Tender Pack/Bank Letter/,20260522 APPSolve BankConfirmLetter.pdf,When letter > 3 months old — request from ABSA Business Banking,Required by most tenders. Dated May 2026. Most tenders require letter < 3 months old — renew by August 2026 (68 days).
COMP-007,Professional Indemnity Insurance,Insurance,ACTIVE,2026-11-14,152,Finance Director,Tender Pack/Insurance/,APPSolve PI Confirmation certificate 20261114.pdf,Annual renewal November — engage African Eagle 60 days before expiry (by mid-September 2026),Required by financial services and enterprise tenders. Confirm coverage amount meets tender minimum. Current cert valid to Nov 2026.
COMP-008,Public Liability Insurance,Insurance,ACTIVE — OBTAINED 2026-06-15,TBC — confirm from policy document,TBC,Finance Director,Tender Pack/Insurance/,Confirm filename from broker — obtain from African Eagle,Annual renewal — confirm exact policy expiry date from policy document; set renewal reminder 60 days prior; engage African Eagle (current broker),OBTAINED 2026-06-15. Confirm exact expiry date from policy document and update this register. Required by many enterprise and government tenders.
COMP-009,Letter of Good Standing — COIDA,Employment,ACTIVE,2027-04-30,319,HR / Finance Director,Tender Pack/Workmans Comp/,WComp Letter of goodstanding 20270430.pdf,Annual renewal — submit COIDA return and request letter from Compensation Fund (April each year),Required by government tenders and many enterprise tenders. Demonstrates COIDA compliance. Current letter valid to April 2027.
COMP-010,Employment Equity Certificate,Employment,ACTIVE — RENEWAL DUE OCT 2026,2026-10-01,108,HR Director,Tender Pack/Employment Equity Cert/,2025 EE Compliance Cert_Appsolve.pdf,Annual EE report submission (October deadline) — submit via DOL online portal; certificate issued on compliance,Required by public sector tenders. Demonstrates Employment Equity Act compliance. 2025 cert current; 2026 renewal due October 2026.
COMP-011,Directors' Resolution — Authority to Tender,Legal,ACTIVE — RENEWED 2026-06-15,2027-06-15,364,Company Secretary,Tender Pack/Resolution/,Renewed resolution 2026-06-15 — confirm exact filename,Annual renewal — obtain fresh resolution and director signatures before 2027-06-15,RENEWED 2026-06-15. Authorises named directors/employees to sign tenders and contracts. Next renewal due June 2027. Update source filename once confirmed.
COMP-012,POPIA Policy / Data Protection Manual,Compliance,MISSING,—,N/A,Company Secretary / DPO,—,—,Draft policy and register; engage legal counsel; appoint Information Officer under POPIA,Increasingly required by financial services and enterprise tenders. POPIA in effect since July 2021. Absence creates regulatory risk and tender deduction risk on regulated-sector bids (PSGFS-type tenders).
COMP-013,PAIA Manual (Section 51),Compliance,MISSING,—,N/A,Company Secretary,—,—,Draft Section 51 manual; register with SAHRC; legal obligation for companies with 50+ employees,Required by public sector tenders. Legal obligation under Promotion of Access to Information Act. Non-compliance = reputational and legal risk.
COMP-014,Oracle Partner Certificate,Partner,EXPIRED,2021-08,EXPIRED,Oracle BU Lead,Tender Pack/Certifications - Oracle and Other/,APPSolve Oracle Gold Partner 2015.pdf,Obtain current Oracle partner certificate from Oracle Partner Network portal; confirm active tier,Do NOT include in tenders without current certificate. Oracle Gold Partner expired August 2021. Current partner tier unknown — verify with Oracle BU Lead.
COMP-015,Audited Financial Statements (AFS),Financial,ACTIVE,2025,~365,Finance Director,BEE/2025/Ascor Info/,2025 AFS signed.pdf,Annual — issued with BEE audit; 2025 signed version available,Required by some tenders for financial capacity assessment. 2025 signed AFS available. Older AFS (2021–2024) also on file.
COMP-016,Acumatica Gold Partner Certificate,Partner,MISSING,—,N/A,Acumatica BU Lead,—,—,Obtain company-level Gold Partner certificate from Acumatica Partner Portal (partner.acumatica.com),Only individual consultant certifications found. Company-level Gold Partner certificate required for tenders demanding proof of authorised Acumatica VAR status. Gap creates credibility risk on Acumatica-specific bids.
